"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Estonia","EST","Land area (sq. km)","AG.LND.TOTL.K2","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","","",
"Ethiopia","ETH","Land area (sq. km)","AG.LND.TOTL.K2","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","","",
"European Union","EUU","Land area (sq. km)","AG.LND.TOTL.K2","4209350","4209330","4209340","4209340","4209330","4209320","4209310","4209300","4209300","4209290","4209280","4209280","4209260","4209190","4209040","4208970","4208920","4208920","4208880","4208780","4208750","4208730","4208680","4208680","4208670","4208650","4208650","4208630","4207620","4207610","4207720","4207766","4207746","4207756","4207716","4207786","4207696","4207666","4207626","4239956","4239416","4240166","4240326","4238386","4240126","4237416","4237346","4236781","4237674","4237675","4237681","","",
"Finland","FIN","Land area (sq. km)","AG.LND.TOTL.K2","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304110","304090","303900","303900","303900","303890","","",
"Fiji","FJI","Land area (sq. km)","AG.LND.TOTL.K2","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","","",
"France","FRA","Land area (sq. km)","AG.LND.TOTL.K2","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547670","547660","547660","547660","547660","547660","547660","547660","","",
"Faeroe Islands","FRO","Land area (sq. km)","AG.LND.TOTL.K2","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","","",
"Micronesia, Fed. Sts.","FSM","Land area (sq. km)","AG.LND.TOTL.K2","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","1370","1370","1370","1370","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","3170","","",
"Gabon","GAB","Land area (sq. km)","AG.LND.TOTL.K2","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","","",
"United Kingdom","GBR","Land area (sq. km)","AG.LND.TOTL.K2","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","","",
"Georgia","GEO","Land area (sq. km)","AG.LND.TOTL.K2","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","","",
"Ghana","GHA","Land area (sq. km)","AG.LND.TOTL.K2","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","","",
"Guinea","GIN","Land area (sq. km)","AG.LND.TOTL.K2","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","","",
"Gambia, The","GMB","Land area (sq. km)","AG.LND.TOTL.K2","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","","",
"Guinea-Bissau","GNB","Land area (sq. km)","AG.LND.TOTL.K2","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","","",
"Equatorial Guinea","GNQ","Land area (sq. km)","AG.LND.TOTL.K2","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","","",
"Greece","GRC","Land area (sq. km)","AG.LND.TOTL.K2","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","","",
"Grenada","GRD","Land area (sq. km)","AG.LND.TOTL.K2","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","","",
"Greenland","GRL","Land area (sq. km)","AG.LND.TOTL.K2","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","","",
"Guatemala","GTM","Land area (sq. km)","AG.LND.TOTL.K2","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","","",
"Guam","GUM","Land area (sq. km)","AG.LND.TOTL.K2","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","","",
"Guyana","GUY","Land area (sq. km)","AG.LND.TOTL.K2","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","","",
"High income","HIC","Land area (sq. km)","AG.LND.TOTL.K2","51250784","51250784","51250784","51250784","51250784","51250784","51250784","51250784","51250784","51250784","51250784","51250684","51250664","51250594","51250344","51250294","51250134","51250124","51250134","51249854","51249934","51249724","51249684","51248184","51248074","51248154","51248054","51248044","51248024","51248014","51248014","51248080","51244300","51239410","51236900","51236420","51305820","51308380","51315540","51343730","51340300","51343275","51343457","51341759","51343849","51337534","51337625","51322995","51322928","51321715","51321611","","",
"Hong Kong SAR, China","HKG","Land area (sq. km)","AG.LND.TOTL.K2","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","","",
"Honduras","HND","Land area (sq. km)","AG.LND.TOTL.K2","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","","",
"Heavily indebted poor countries (HIPC)","HPC","Land area (sq. km)","AG.LND.TOTL.K2","19854291","19854291","19854291","19854291","19854291","19854291","19854291","19854291","19854291","19854291","19854291","19854291","19854291","19853891","19853631","19853631","19853631","19853631","19853631","19853631","19853631","19853631","19853631","19853631","19853631","19853631","19853631","19853631","19853631","19853631","19853631","19853631","19752631","19752631","19752631","19752631","19752631","19752631","19752631","19752631","19752631","19752631","19752631","19752631","19752631","19752631","19752631","19752631","19752631","19752631","19752631","","",
"Croatia","HRV","Land area (sq. km)","AG.LND.TOTL.K2","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55980","55980","55910","55910","55910","55910","55910","55910","55960","55960","55960","55960","55960","55960","55960","55960","","",
"Haiti","HTI","Land area (sq. km)","AG.LND.TOTL.K2","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","","",
"Hungary","HUN","Land area (sq. km)","AG.LND.TOTL.K2","90040","90020","90030","90030","90020","90010","90000","89990","89990","89980","89970","89970","89970","89970","89970","89950","89960","89970","89920","89910","89900","89890","89880","89880","89880","89880","89880","89870","89870","89870","89870","89870","89860","89860","89860","89860","89800","89800","89800","89620","89620","89620","89620","89620","89610","89610","89610","89610","90530","90530","90530","","",
"Indonesia","IDN","Land area (sq. km)","AG.LND.TOTL.K2","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","","",
"Isle of Man","IMN","Land area (sq. km)","AG.LND.TOTL.K2","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","","",
"India","IND","Land area (sq. km)","AG.LND.TOTL.K2","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","","",
"Not classified","INX","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Land area (sq. km)","AG.LND.TOTL.K2","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","","",
"Iran, Islamic Rep.","IRN","Land area (sq. km)","AG.LND.TOTL.K2","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","","",
"Iraq","IRQ","Land area (sq. km)","AG.LND.TOTL.K2","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","434320","434320","434320","","",
"Iceland","ISL","Land area (sq. km)","AG.LND.TOTL.K2","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","","",
"Israel","ISR","Land area (sq. km)","AG.LND.TOTL.K2","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","","",
"Italy","ITA","Land area (sq. km)","AG.LND.TOTL.K2","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294140","294140","294140","294140","294140","294140","294140","294140","294140","","",
"Jamaica","JAM","Land area (sq. km)","AG.LND.TOTL.K2","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","","",
"Jordan","JOR","Land area (sq. km)","AG.LND.TOTL.K2","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88780","88780","88780","","",
"Japan","JPN","Land area (sq. km)","AG.LND.TOTL.K2","366700","366700","366700","366700","366700","366700","366700","366700","366700","366700","366700","366600","366600","366600","366500","366500","366400","366400","366400","366300","366400","366200","366200","364700","364600","364700","364600","364600","364600","364600","364600","364600","364600","364600","364600","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","","",
"Kazakhstan","KAZ","Land area (sq. km)","AG.LND.TOTL.K2","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","","",
"Kenya","KEN","Land area (sq. km)","AG.LND.TOTL.K2","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","","",
"Kyrgyz Republic","KGZ","Land area (sq. km)","AG.LND.TOTL.K2","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","","",
"Cambodia","KHM","Land area (sq. km)","AG.LND.TOTL.K2","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","","",
"Kiribati","KIR","Land area (sq. km)","AG.LND.TOTL.K2","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","","",
"St. Kitts and Nevis","KNA","Land area (sq. km)","AG.LND.TOTL.K2","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","","",
"Korea, Rep.","KOR","Land area (sq. km)","AG.LND.TOTL.K2","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","98730","96740","96790","96800","96820","96850","96880","96920","97030","97100","97100","97100","","",
"Kosovo","KSV","Land area (sq. km)","AG.LND.TOTL.K2","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","","",
"Kuwait","KWT","Land area (sq. km)","AG.LND.TOTL.K2","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","","",
"Latin America & Caribbean (developing only)","LAC","Land area (sq. km)","AG.LND.TOTL.K2","19226410","19226410","19226410","19226410","19226410","19226410","19226410","19226410","19226410","19226410","19226410","19226410","19226410","19226410","19226550","19226420","19226420","19226420","19226420","19226420","19226420","19226420","19226420","19226420","19226420","19226420","19226420","19226420","19226420","19226420","19226420","19226420","19226420","19226420","19226420","19226420","19226420","19197940","19197940","19197940","19197940","19196930","19196940","19196950","19196980","19196970","19196980","19196980","19196980","19196980","19196980","","",
"Lao PDR","LAO","Land area (sq. km)","AG.LND.TOTL.K2","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","","",
"Lebanon","LBN","Land area (sq. km)","AG.LND.TOTL.K2","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","","",
"Liberia","LBR","Land area (sq. km)","AG.LND.TOTL.K2","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","","",
"Libya","LBY","Land area (sq. km)","AG.LND.TOTL.K2","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","","",
"St. Lucia","LCA","Land area (sq. km)","AG.LND.TOTL.K2","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","","",
"Latin America & Caribbean (all income levels)","LCN","Land area (sq. km)","AG.LND.TOTL.K2","20171912","20171912","20171912","20171912","20171912","20171912","20171912","20171912","20171912","20171912","20171912","20171912","20171912","20171912","20172052","20171922","20171922","20171922","20171922","20171832","20171832","20171832","20171832","20171832","20171832","20171832","20171832","20171832","20171832","20171832","20171832","20171832","20171832","20171832","20171832","20171832","20171832","20143352","20143352","20143352","20143352","20142342","20142352","20142362","20142392","20142382","20142392","20142392","20142392","20142392","20142392","","",
"Least developed countries: UN classification","LDC","Land area (sq. km)","AG.LND.TOTL.K2","20278311","20278311","20278311","20278311","20278311","20278311","20278311","20278311","20278311","20278311","20278311","20278311","20278311","20277911","20277511","20277511","20277511","20277511","20277511","20277511","20277511","20277511","20277511","20277511","20277511","20277511","20277511","20277511","20277511","20277511","20277511","20277511","20176511","20169588","20169588","20169588","20169588","20169588","20169588","20169938","20169938","20169938","20169938","20168135","20168075","20168185","20168235","20168025","20168015","20167975","20168005","","",
"Low income","LIC","Land area (sq. km)","AG.LND.TOTL.K2","15150111","15150111","15150111","15150111","15150111","15150111","15150111","15150111","15150111","15150111","15150111","15150111","15150111","15149711","15149311","15149311","15149311","15149311","15149311","15149311","15149311","15149311","15149311","15149311","15149311","15149311","15149311","15149311","15149311","15149311","15149311","15149311","15048311","15048311","15048311","15048311","15048311","15048311","15048311","15048661","15048661","15048661","15048661","15048541","15048481","15048591","15048641","15048431","15048421","15048381","15048411","","",
"Liechtenstein","LIE","Land area (sq. km)","AG.LND.TOTL.K2","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","","",
"Sri Lanka","LKA","Land area (sq. km)","AG.LND.TOTL.K2","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","","",
"Lower middle income","LMC","Land area (sq. km)","AG.LND.TOTL.K2","20620637","20620637","20620637","20620637","20620637","20620637","20620637","20620637","20620637","20620637","20620637","20620637","20620567","20620527","20620647","20620517","20620517","20620517","20620517","20620517","20620517","20620517","20620517","20620517","20620517","20620517","20620517","20620517","20620517","20620517","20618717","20618717","20618797","20611864","20613654","20613654","20613644","20613634","20613624","20599174","20599204","20598654","20597974","20596281","20596331","20596371","20596351","20596341","20596341","20596295","20596295","","",
"Low & middle income","LMY","Land area (sq. km)","AG.LND.TOTL.K2","78550518","78550498","78550508","78550508","78550498","78550488","78550478","78550468","78550468","78550458","78550448","78550448","78550378","78549938","78549648","78549498","78549498","78549508","78549458","78549448","78549438","78549418","78549408","78549408","78549408","78549408","78549408","78549398","78548408","78548408","78546718","78546725","78445795","78438912","78441382","78441412","78441352","78412797","78412410","78398140","78398175","78394950","78394364","78392602","78392480","78392657.6","78392380.2","78392168.2","78390583.5","78390601.7","78390753.9","","",
"Lesotho","LSO","Land area (sq. km)","AG.LND.TOTL.K2","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","","",
"Lithuania","LTU","Land area (sq. km)","AG.LND.TOTL.K2","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62675","62675","62675","62674","","",
"Luxembourg","LUX","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2590","2590","2590","2590","2590","2590","2590","2590","2590","2590","2590","2590","","",
"Latvia","LVA","Land area (sq. km)","AG.LND.TOTL.K2","62190","62190","62190","62190","62190","62190","62190","62190","62190","62190","62190","62190","62190","62190","62190","62190","62190","62190","62190","62190","62190","62190","62190","62190","62190","62190","62190","62190","62190","62190","62190","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62180","62240","62200","","",
"Macao SAR, China","MAC","Land area (sq. km)","AG.LND.TOTL.K2","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","","",
"St. Martin (French part)","MAF","Land area (sq. km)","AG.LND.TOTL.K2","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","","",
